Email                              , First Name , Last Name   , Residential Address Street , Residential Address Locality         , Residential Address State, Residential Address Postcode, Postal Address Street      , Postal Address Locality              , Postal Address State, Postal Address Postcode, , , , , ,res_lat,res_lng,post_lat,post_lng
colton_tromp@gmail.com             , Darcy      , Waters      , 8540 Charli Summit         , AIRLIE BEACH                         , QLD                      , 4802                        ,-20.26751,148.71471, WA                  ,                    6315, , , ,11.0484487,-63.9786204
lindsay_bradtke@gmail.com          , Georgia    , Stewart     , 650 Harris Summit          , ARCTURUS                             , QLD                      , 4722                        ,-20.0,145.0, SA                  ,                    5173, , , ,-35.271229,138.4731095
jaime_kuphal@yahoo.com             , Joshua     , Schmidt     , 53 Klein Circle            , AMBLESIDE                            , TAS                      , 7310                        ,-41.45,146.1167, VIC                 ,                    3825, , , ,48.4784935,20.8768653
odell.king@hotmail.com             , Natalie    , Smith       , 545 Summer Avenue          , ALVIE                                , VIC                      , 3249                        ,-38.23333,143.5, NSW                 ,                    2648, , , ,48.037859,19.1423648
carlos@hotmail.com                 , Cameron    , Schneider   , 46 Becker Summit           , ALLANSFORD                           , VIC                      , 3277                        ,-6.88333,107.53333, VIC                 ,                    3691, , , ,48.2232757,14.9864396
june@gmail.com                     , Oscar      , King        , 727 Zoe Knoll              , ADELAIDE RIVER                       , NT                       , 846                         ,56.69722,9.84722, VIC                 ,                    3371, , , ,47.6201494,20.3592495
linsey.blanda@hotmail.com          , Mia        , Flatley     , 15 Hannah Circle           , ARMADALE                             , WA                       , 6112                        ,0.01637,109.33731, QLD                 ,                    4306, , , ,51.6506,4.00007
roger.prohaska@gmail.com           , Charles    , Wilson      , 85 Isaac Terrace           , ALEXANDRA HILLS                      , QLD                      , 3161                        ,-27.53221,153.22889, QLD                 ,                    4702, , , ,48.2314323,13.9464983
arthur@yahoo.com                   , Owen       , Carter      , 9300 Moss Run              , ANKETELL                             , WA                       , 6167                        ,32.668873,-90.037661, QLD                 ,                    4343, , , ,47.7588827,22.2756474
barrett@yahoo.com                  , Ashley     , Green       , 5023 Nader Lane            , ANDAMOOKA                            , SA                       , 5722                        ,46.39654,6.19169, WA                  ,                    6714, , , ,47.1767789,9.8178158
salvatore_schuppe@gmail.com        , Aidan      , Kuhlman     , 201 Durgan Mall            , ANNADALE                             , SA                       , 5356                        ,-34.39137,139.34886, QLD                 ,                    4572, , , ,47.7670578,14.1962861
karl@yahoo.com                     , Alexandra  , Clarke      , 6591 Natalie Meadow        , ARROWSMITH                           , WA                       , 6525                        ,32.668873,-90.037661, TAS                 ,                    7264, , , ,-40.9862592,148.0068497
karyn.kub@gmail.com                , Samantha   , Champlin    , 79 Eve Pass                , ADARE                                , QLD                      , 4343                        ,-27.51267,152.29537, QLD                 ,                    4477, , , ,-25.7862293,146.5973145
mackenzie_auer@gmail.com           , Cameron    , Haley       , 351 Heidi Court            , ALPHINGTON                           , VIC                      , 3078                        ,-37.7829,145.0226, QLD                 ,                    4807, , , ,-19.7063753,147.3553345
lea.cummings@hotmail.com           , Daniel     , Braun       , 80 Ernser Avenue           , ANNADALE                             , SA                       , 5356                        ,-34.39137,139.34886, VIC                 ,                    3851, , , ,48.2941877,21.0427043
julian@yahoo.com                   , Luke       , Dare        , 544 Sanford Pass           , AYLMERTON                            , NSW                      , 2575                        ,47.2808,7.83274, TAS                 ,                    7330, , , ,-40.9240192,144.9986757
sandee@yahoo.com                   , Blake      , Feeney      , 2442 Grimes Island         , ASHMONT                              , NSW                      , 2650                        ,-35.12491,147.33172, NSW                 ,                    2850, , , ,51.0934656,4.3738771
camille_hintz@yahoo.com            , William    , Walter      , 4945 Chloe Parkway         , MILLERBURGH                          , NSW                      , 1270                        ,55.61963,14.01975, ACT                 ,                    6202, , , ,9.4103203,123.2328507
twila_morar@yahoo.com              , Bella      , Lockman     , 8813 Emily Meadow          , ARMSTRONG CREEK                      , VIC                      , 3217                        ,-38.2583,144.3083, NSW                 ,                    2425, , , ,46.8726397,18.7690526
maryjo@yahoo.com                   , Lucy       , Stokes      , 888 Mackenzie Ridge        , AARONS PASS                          , NSW                      , 2850                        ,47.4116,7.83234, NSW                 ,                    2289, , , ,-32.940876,151.7104695
phillip@gmail.com                  , Archie     , Barton      , 41 Taylor View Rd          , ANGLEDOOL                            , NSW                      , 2834                        ,47.42903,7.70266, VIC                 ,                    3727, , , ,-36.2503224,145.9375249
sol@gmail.com                      , Jett       , Monahan     , 8845 Braun Hill            , ARMADALE                             , WA                       , 6112                        ,0.01637,109.33731, NSW                 ,                    2320, , , ,48.1124544,16.5258291
aileen.berge@yahoo.com             , Phoebe     , Dare        , 823 O'neill Place          , ALLENS RIVULET                       , TAS                      , 7150                        ,-43.2667,147.2333, NSW                 ,                    2431, , , ,47.0522286,18.7755137
ozie.herzog@gmail.com              , Lachlan    , Howell      , 91 Samantha Parkway        , ADAMS ESTATE                         , VIC                      , 3984                        ,-38.4167,145.5, WA                  ,                    6330, , , ,47.5833565,12.208168
deane_donnelly@gmail.com           , Alexander  , Walker      , 25 Grace Crescent          , APPILA                               , SA                       , 5480                        ,46.62863,6.54957, QLD                 ,                    4740, , , ,-27.5825693,-66.3142212
ona@hotmail.com                    , Summer     , Hand        , 24 Matilda Station St      , ARCOONA                              , SA                       , 5720                        ,46.43278,6.19621, QLD                 ,                    4660, , , ,-25.183957,152.3261899
oren.west@yahoo.com                , Archie     , Douglas     , 15 Alyssa Street           , ALBION PARK RAIL                     , NSW                      , 2527                        ,47.21596,7.58677, SA                  ,                    5159, , , ,-35.0774331,138.5917758
todd@yahoo.com                     , Riley      , West        , 2122 Goodwin Avenue        , ARCADIA SOUTH                        , VIC                      , 3631                        ,-36.4167,145.5, QLD                 ,                    4627, , , ,48.402782,22.2261565
loreta.bernier@hotmail.com         , Audrey     , Rohan       , 264 Maya Station St        , APPLECROSS                           , WA                       , 6153                        ,46.2404,6.91528, QLD                 ,                    4814, , , ,47.2861259,8.0047101
major_hermann@hotmail.com          , Natalie    , Hammes      , 33 Durgan Circle           , AREEGRA                              , VIC                      , 3480                        ,-36.3028,142.9681, NSW                 ,                    2350, , , ,-30.4333,151.6667
hunter@gmail.com                   , Edward     , Parisian    , 62 Lachlan Run             , ARKAROOLA VILLAGE                    , SA                       , 5732                        ,46.42811,6.24935, QLD                 ,                    4650, , , ,50.6070091,5.807163
lanny.fay@gmail.com                , Marcus     , Kutch       , 2245 Jett Square           , ARDROSSAN                            , SA                       , 5571                        ,46.86462,6.63414, QLD                 ,                    4819, , , ,51.5753,4.7687099
ruthie@yahoo.com                   , Eli        , Wood        , 157 Amy Crest              , ASHBOURNE                            , VIC                      , 3442                        ,-37.3174,144.5993, QLD                 ,                    4892, , , ,48.0229915,13.4285577
jim@yahoo.com                      , Phoenix    , Douglas     , 6855 Erdman Mews           , ARIAH PARK                           , NSW                      , 2665                        ,-34.5,147.1667, NSW                 ,                    2727, , , ,-35.033304,148.3244036
lise.lang@gmail.com                , Claire     , Anderson    ,                            , AVONSIDE                             , NSW                      , 2628                        ,-36.4105528,148.7200731, SA                  ,                    5159, , , ,-35.0774331,138.5917758
shery@hotmail.com                  , Callum     , Feeney      ,                            , PARISIANBERG                         , QLD                      , 7260                        ,-20.0,145.0, SA                  ,                    2880, , , ,47.6009134,15.9762592
